"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_competent","model_pushyr","model_genuine","model_professional","model_credible","model_fake","model_follower","model_sincere","model_moral","model_assertive","model_charm","model_suspicious","model_peaceful","model_calm","model_subordinate","model_knowledgeable","model_sociable","model_trustworthy","model_honest","model_friendly","model_reliable","model_manipulative","model_experienced","model_respectful","model_phony","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark"
"1",1,34,"English","",2,1,3,4,0,0,1,0,0,1,1,3,2,4,2,5,2,4,1,4,5,2,"400",3,3,1,5,2,4,7,2,4,2,6,5,3,1,4,7,5,3,5,4,1,7,4,6,5,5,1,3,6,5,1,5,5,6,5,6,7,5,2,2,5,3,2,7,3,3,5,6,7,2,"I thought the girl is good looking and it is a good set up for the house",1,5,2,4,2,6,4,5,5,1,1,0,0,0,0,0
"2",2,39,"English","",1,1,5,6,0,2,0,0,1,1,5,5,3,2,2,3,3,3,3,3,2,7,"200",2,4,2,2,2,6,6,4,4,5,2,4,5,7,4,2,6,4,4,6,4,4,2,7,4,4,4,4,2,2,2,2,4,2,4,6,2,5,4,3,3,5,4,3,3,6,4,6,6,5,"Furniture store ad featuring an outdoor set made of wicker and with grey cushions. It was advertised as a comfortable set, perfect for entertaining. The ad was also featuring a girl with a checkered shirt and sunglasses with the statement that this was her choice because it was the right choice.",6,4,5,2,6,5,5,1,7,6,0,0,0,1,0,0
"3",1,28,"english","25",1,1,4,6,0,0,1,0,0,1,2,4,2,2,2,3,2,2,2,2,6,4,"400",6,2,6,6,5,2,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,2,5,7,1,4,6,7,5,6,6,4,5,5,4,3,4,4,3,3,3,3,3,3,3,4,4,"It's a pretty eye-catching ad, but I think it should be a bit more colorful perhaps to better capture the vision of people",2,2,4,3,3,4,3,3,4,3,1,0,0,0,0,0
"4",2,51,"English","",1,1,3,5,1,1,0,1,0,1,4,5,3,3,2,3,3,4,3,4,4,3,"200",5,3,5,4,5,4,4,5,4,4,6,4,5,5,4,4,6,6,5,6,5,3,4,4,5,5,4,2,4,5,5,5,5,3,1,4,2,6,2,3,2,2,2,2,2,3,2,2,3,3,"The guy looks like a young urbanite. His tagline seems a little confusing and could apply to any product ad whatsoever. The picture of the product looks alright but the middle fence cutout behind the main couch looks a little weird against a white background. The description of the product is good.",3,3,3,3,3,3,3,4,3,4,0,0,0,0,1,0
"5",1,43,"english","",2,1,7,6,0,1,0,1,0,1,3,3,5,3,3,5,5,3,5,5,4,4,"2500",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"a garden furniture . nothing special! need to try it to say more about it.",4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0
"6",2,63,"English","life",1,5,5,5,1,2,0,0,1,1,5,5,4,2,2,3,3,5,3,3,6,3,"1200",5,1,6,6,6,1,4,5,6,6,6,1,6,6,4,4,6,4,5,5,5,1,4,5,3,5,3,5,4,5,6,3,4,3,3,3,2,5,1,2,1,1,1,2,2,3,1,3,4,3,"young man advertising all weather wicker furniture, looks nice and comfortable",2,2,2,1,2,1,2,1,2,2,0,0,0,0,0,1
"7",1,41,"en","",2,2,3,4,0,2,0,0,1,1,5,4,5,4,4,5,4,5,5,4,2,1,"200",4,4,2,3,4,6,5,4,4,4,4,5,4,4,4,4,4,2,3,4,4,4,3,4,4,3,4,3,4,2,4,3,4,3,3,5,3,4,6,5,4,6,5,5,5,6,5,5,6,4,"patio set, one double chair, two single chairs. A tea set for two on the table. Surrounded by a garden fence. A woman in the front with a text stating it is the right choice, because it is my choice",4,4,5,4,5,6,5,4,6,6,0,0,0,1,0,0
"8",2,28,"English","",1,1,3,5,0,1,0,1,0,1,5,5,5,5,5,5,5,5,5,5,3,6,"399",2,6,1,2,1,7,6,1,4,2,1,7,4,4,4,1,3,1,1,4,2,6,2,3,7,3,3,1,3,1,3,2,4,4,1,4,3,2,4,4,4,3,3,4,4,7,3,4,6,4,"A female in plaid recommending a wicker patio set with cushions, saying it's stylish and comfortable. ",5,5,6,4,6,6,6,4,6,7,0,0,1,0,0,0
"9",2,42,"English","since birth",1,2,6,6,1,1,0,1,0,1,5,4,4,2,3,3,4,3,4,2,5,3,"300",5,6,2,4,4,6,4,2,4,4,3,7,4,4,4,5,5,3,4,4,4,6,4,4,5,2,1,6,1,2,2,1,3,1,1,2,1,1,2,4,3,2,2,2,2,4,3,6,4,4,"I saw an advertisement for outdoor wicker furniture with cushions with the setting being outside on a a patio along with a tea set on the matching table.  There was a man in sunglasses who appeared to give a positive statement about the company.",2,2,4,1,3,2,1,2,2,2,0,0,0,0,1,0
"10",2,24,"English","",1,1,4,3,1,0,1,0,0,1,1,3,4,3,2,3,3,5,5,5,4,7,"149",3,2,2,1,4,5,5,5,4,3,3,4,5,5,5,4,4,4,4,6,5,3,3,4,4,3,4,1,4,4,3,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,"A boy in a red plaid shirt stands at the fore of the ad, above his head is text that reads something along the lines of, ""It's my choice because it's the right choice."" Behind him is a set of wicker patio furniture with plush cushions. Below the furniture, and to the left of the boy's torso is text describing the comfort of the furniture. /  / In my opinion, the furniture is playing second fiddle to the boy in the ad. The viewer's focus is on him, due to his placement at the forefront of the image and his bright red shirt. The furniture, meanwhile, plays a neutral background. If one didn't read the text of the image, they probably wouldn't realize it was an ad for patio furniture.",7,6,5,4,5,6,4,2,7,7,0,1,0,0,0,0
"11",2,41,"Cantonese & English","41",1,1,5,5,0,2,0,0,1,1,5,4,4,2,3,3,4,4,4,4,1,7,"200",3,2,1,1,1,6,4,1,3,3,3,6,4,6,5,5,2,1,1,1,1,4,1,5,6,1,1,7,1,2,2,1,4,2,2,5,2,5,3,3,3,4,3,3,3,7,1,3,6,5,"The female model wearing sunglasses though in agreement with the outdoor furniture set yet looking rather odd in the ad.  Seems like there's something to hide.",3,3,4,4,4,5,4,3,5,4,0,0,0,1,0,0
"12",1,50,"English","",2,7,3,3,0,0,1,0,0,1,3,3,4,4,3,4,4,4,4,3,1,1,"350",4,4,3,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,1,1,7,7,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,5,5,4,"A woman declaring that she made the right choice in outdoor wicker furniture, that can be used all winter.",4,4,4,3,4,3,4,1,5,5,1,0,0,0,0,0
